Date,Close/Last,
06/08/2021,$219.06,280
06/09/2021,$217.51,281
06/10/2021,$219.58,282
06/11/2021,$223.30,283
06/14/2021,$222.18,284
06/15/2021,$223.72,285
06/16/2021,$221.98,286
06/17/2021,$220.38,287
06/18/2021,$218.86,288
06/21/2021,$222.68,289
06/22/2021,$221.69,290
06/23/2021,$221.45,291
06/24/2021,$219.65,292
06/25/2021,$221.03,293
06/28/2021,$219.51,294
06/29/2021,$215.40,295
06/30/2021,$216.15,296
07/01/2021,$218.66,297
07/02/2021,$219.44,298
07/06/2021,$219.50,299
07/07/2021,$224.00,300
07/08/2021,$222.30,301
07/09/2021,$223.99,302
07/12/2021,$224.25,303
07/13/2021,$224.58,304
07/14/2021,$223.97,305
07/15/2021,$223.86,306
07/16/2021,$223.76,307
07/19/2021,$218.23,308
07/20/2021,$225.51,309
07/21/2021,$227.10,310
07/22/2021,$226.12,311
07/23/2021,$227.25,312
07/26/2021,$226.00,313
07/27/2021,$228.08,314
07/28/2021,$227.68,315
07/29/2021,$228.55,316
07/30/2021,$226.74,317
08/02/2021,$225.95,318
08/03/2021,$231.37,319
08/04/2021,$229.41,320
08/05/2021,$231.24,321
08/06/2021,$231.29,322
08/09/2021,$229.00,323
08/10/2021,$232.62,324
08/11/2021,$232.89,325
08/12/2021,$230.77,326
08/13/2021,$229.83,327
08/16/2021,$234.15,328
08/17/2021,$233.88,329
08/18/2021,$231.23,330
08/19/2021,$230.12,331
08/20/2021,$231.14,332
08/23/2021,$232.49,333
08/24/2021,$232.44,334
08/25/2021,$233.26,335
08/26/2021,$234.50,336
08/27/2021,$232.20,337
08/30/2021,$232.62,338
08/31/2021,$233.01,339
09/01/2021,$232.70,340
09/02/2021,$234.18,341
09/03/2021,$231.74,342
09/07/2021,$229.73,343
09/08/2021,$230.85,344
09/09/2021,$232.05,345
09/10/2021,$231.63,346
09/13/2021,$228.52,347
09/14/2021,$226.98,348
09/15/2021,$228.70,349
09/16/2021,$221.03,350
09/17/2021,$222.46,351
09/20/2021,$222.04,352
09/21/2021,$219.99,353
09/22/2021,$222.73,354
09/23/2021,$221.24,355
09/24/2021,$223.49,356
09/27/2021,$223.18,357
09/28/2021,$221.88,358
09/29/2021,$223.03,359
09/30/2021,$220.24,360
10/01/2021,$219.48,361
10/04/2021,$218.44,362
10/05/2021,$222.33,363
10/06/2021,$226.87,364
10/07/2021,$230.64,365
10/08/2021,$233.17,366
10/11/2021,$235.37,367
10/12/2021,$237.12,368
10/13/2021,$234.58,369
10/14/2021,$236.67,370
10/15/2021,$239.07,371
10/18/2021,$238.78,372
10/19/2021,$241.93,373
10/20/2021,$243.17,374
10/21/2021,$241.75,375
10/22/2021,$244.73,376
10/25/2021,$244.27,377
10/26/2021,$233.39,378
10/27/2021,$228.49,379
10/28/2021,$224.03,380
10/29/2021,$230.54,381
11/01/2021,$221.35,382
11/02/2021,$218.42,383
11/03/2021,$221.10,384
11/04/2021,$222.14,385
11/05/2021,$223.97,386
11/08/2021,$223.84,387
11/09/2021,$224.72,388
11/10/2021,$223.46,389
11/11/2021,$218.98,390
11/12/2021,$220.30,391
11/15/2021,$221.23,392
11/16/2021,$220.00,393
11/17/2021,$221.19,394
11/18/2021,$220.00,395
11/19/2021,$220.00,396
11/22/2021,$222.13,397
11/23/2021,$221.51,398
11/24/2021,$218.74,399
11/26/2021,$215.12,400
11/29/2021,$214.68,401
11/30/2021,$209.08,402
12/01/2021,$207.32,403
12/02/2021,$211.15,404
12/03/2021,$212.00,405
12/06/2021,$215.30,406
12/07/2021,$214.68,407
12/08/2021,$216.63,408
12/09/2021,$216.52,409
12/10/2021,$216.80,410
12/13/2021,$217.94,411
12/14/2021,$213.00,412
12/15/2021,$213.00,413
12/16/2021,$210.76,414
12/17/2021,$207.93,415
12/20/2021,$202.02,416
12/21/2021,$207.13,417
12/22/2021,$206.75,418
12/23/2021,$208.26,419
12/27/2021,$210.33,420
12/28/2021,$212.16,421
12/29/2021,$212.37,422
12/30/2021,$212.94,423
12/31/2021,$213.24,424
01/03/2022,$211.57,425
01/04/2022,$214.01,426
01/05/2022,$209.38,427
01/06/2022,$217.55,428
01/07/2022,$219.77,429
01/10/2022,$223.44,430
01/11/2022,$222.02,431
01/12/2022,$220.09,432
01/13/2022,$222.60,433
01/14/2022,$227.86,434
01/18/2022,$228.95,435
01/19/2022,$227.67,436
01/20/2022,$224.46,437
01/21/2022,$220.75,438
01/24/2022,$225.05,439
01/25/2022,$224.45,440
01/26/2022,$222.63,441
01/27/2022,$216.27,442
01/28/2022,$218.67,443
01/31/2022,$209.29,444
02/01/2022,$209.92,445
02/02/2022,$211.74,446
02/03/2022,$213.57,447
02/04/2022,$213.24,448
02/07/2022,$217.46,449
02/08/2022,$218.94,450
02/09/2022,$220.56,451
02/10/2022,$215.22,452
02/11/2022,$222.97,453
02/14/2022,$219.82,454
02/15/2022,$217.04,455
02/16/2022,$221.62,456
02/17/2022,$221.00,457
02/18/2022,$217.62,458
02/22/2022,$218.96,459
02/23/2022,$216.29,460
02/24/2022,$228.47,461
02/25/2022,$233.51,462
02/28/2022,$252.31,463
03/01/2022,$255.08,464
03/02/2022,$253.57,465
03/03/2022,$255.48,466
03/04/2022,$266.88,467
03/07/2022,$270.74,468
03/08/2022,$261.86,469
03/09/2022,$255.53,470
03/10/2022,$254.00,471
03/11/2022,$250.00,472
03/14/2022,$250.11,473
03/15/2022,$258.11,474
03/16/2022,$243.43,475
03/17/2022,$248.79,476
03/18/2022,$246.45,477
03/21/2022,$253.86,478
03/22/2022,$251.99,479
03/23/2022,$255.26,480
03/24/2022,$256.88,481
03/25/2022,$257.85,482
03/28/2022,$249.45,483
03/29/2022,$246.60,484
03/30/2022,$251.81,485
03/31/2022,$248.47,486
04/01/2022,$253.17,487
04/04/2022,$252.64,488
04/05/2022,$256.44,489
04/06/2022,$257.90,490
04/07/2022,$260.80,491
04/08/2022,$258.03,492
04/11/2022,$256.57,493
04/12/2022,$257.20,494
04/13/2022,$254.25,495
04/14/2022,$257.41,496
04/18/2022,$259.73,497
04/19/2022,$257.73,498
04/20/2022,$257.82,499
04/21/2022,$246.09,500
04/22/2022,$247.88,501
04/25/2022,$242.92,502
04/26/2022,$240.35,503
04/27/2022,$241.06,504
04/28/2022,$239.09,505
04/29/2022,$232.26,506
05/02/2022,$235.21,507
05/03/2022,$237.53,508
05/04/2022,$241.80,509
05/05/2022,$241.48,510
05/06/2022,$243.83,511
05/09/2022,$239.25,512
05/10/2022,$237.68,513
05/11/2022,$238.48,514
05/12/2022,$235.56,515
05/13/2022,$236.18,516
05/16/2022,$238.96,517
05/17/2022,$241.61,518
05/18/2022,$237.85,519
05/19/2022,$232.74,520
05/20/2022,$229.40,521
05/23/2022,$233.83,522
05/24/2022,$237.66,523
05/25/2022,$236.65,524
05/26/2022,$236.79,525
05/27/2022,$240.92,526
05/31/2022,$240.90,527
06/01/2022,$241.49,528
06/02/2022,$240.69,529
06/03/2022,$243.14,530
06/06/2022,$241.10,531
06/07/2022,$246.39,532
06/08/2022,$244.46,533
06/09/2022,$240.59,534
06/10/2022,$240.43,535
06/13/2022,$233.25,536
